2026-02-17 22:45:31.018 INFO  [main] PredictionControllerApiTest$ModelStatusTests : Starting PredictionControllerApiTest.ModelStatusTests using Java 21.0.10 with PID 190471 (started by shubhendu.sangam@syndigo.com in /home/shubhendu.sangam@syndigo.com/Downloads/personal/projects/football-prediction)
2026-02-17 22:45:31.020 INFO  [main] PredictionControllerApiTest$ModelStatusTests : No active profile set, falling back to 1 default profile: "default"
2026-02-17 22:45:31.522 INFO  [main] PredictionControllerApiTest$ModelStatusTests : Started PredictionControllerApiTest.ModelStatusTests in 0.712 seconds (process running for 2.488)
2026-02-17 22:45:31.625 INFO  [main] PredictionController : CSV reload requested via API...
2026-02-17 22:45:31.666 INFO  [main] PredictionController : Predicted: Arsenal vs Chelsea → HOME_WIN (H:0.55 D:0.25 A:0.2)
2026-02-17 22:45:31.728 INFO  [main] PredictionController : Manual retrain requested via API...
2026-02-17 22:45:31.735 INFO  [main] PredictionController : Manual retrain requested via API...
2026-02-17 22:45:31.735 ERROR [main] PredictionController : Training failed: Unexpected error
2026-02-17 22:45:31.743 INFO  [main] PredictionController : Manual retrain requested via API...
2026-02-17 22:49:53.260 INFO  [main] PredictionController : CSV reload requested via API...
2026-02-17 22:49:53.327 INFO  [main] PredictionController : Predicted: Sheffield United vs Tottenham → AWAY_WIN (H:0.19 D:0.29 A:0.52)
2026-02-17 22:49:53.365 INFO  [main] PredictionController : Predicted: Sheffield United vs Tottenham → AWAY_WIN (H:0.19 D:0.29 A:0.52)
2026-02-17 22:49:53.393 INFO  [main] PredictionController : CSV reload requested via API...
2026-02-17 22:49:54.173 INFO  [main] PredictionControllerApiTest$ModelStatusTests : Starting PredictionControllerApiTest.ModelStatusTests using Java 21.0.10 with PID 192421 (started by shubhendu.sangam@syndigo.com in /home/shubhendu.sangam@syndigo.com/Downloads/personal/projects/football-prediction)
2026-02-17 22:49:54.175 INFO  [main] PredictionControllerApiTest$ModelStatusTests : No active profile set, falling back to 1 default profile: "default"
2026-02-17 22:49:54.712 INFO  [main] PredictionControllerApiTest$ModelStatusTests : Started PredictionControllerApiTest.ModelStatusTests in 0.562 seconds (process running for 5.992)
2026-02-17 22:49:54.852 INFO  [main] PredictionController : CSV reload requested via API...
2026-02-17 22:49:54.874 INFO  [main] PredictionController : Manual retrain requested via API...
2026-02-17 22:49:54.885 INFO  [main] PredictionController : Manual retrain requested via API...
2026-02-17 22:49:54.886 ERROR [main] PredictionController : Training failed: Unexpected error
2026-02-17 22:49:54.894 INFO  [main] PredictionController : Manual retrain requested via API...
2026-02-17 22:49:54.933 INFO  [main] PredictionController : Predicted: Arsenal vs Chelsea → HOME_WIN (H:0.55 D:0.25 A:0.2)
2026-02-17 22:51:15.218 INFO  [main] PredictionController : CSV reload requested via API...
2026-02-17 22:51:15.291 INFO  [main] PredictionController : Predicted: Sheffield United vs Tottenham → AWAY_WIN (H:0.19 D:0.29 A:0.52)
2026-02-17 22:51:15.325 INFO  [main] PredictionController : Predicted: Sheffield United vs Tottenham → AWAY_WIN (H:0.19 D:0.29 A:0.52)
2026-02-17 22:51:15.352 INFO  [main] PredictionController : CSV reload requested via API...
